date,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10
2000-01-31,0.03883266281116424,0.05285317696113706,0.19929614283630526,0.08644363471820321,-0.045425367978769504,0.1290917642470808,0.03395645457972188,-0.0404925669558108,-0.07604232598107324,0.051829932480585345
2000-02-29,-0.11107923160366603,-0.12211910592505729,0.05493508847452233,-0.10381556528652314,-0.0995025736641724,-0.07586478388371798,-0.08759469696969702,0.002216726435010141,-0.033640837725865985,0.07781430030203829
2000-03-31,0.13332683463046405,0.2475301399260239,0.0736385794148754,0.2614178599305791,0.21400035764955755,0.3010173160173159,0.335905137822182,0.1914017994445593,0.20871240622933582,0.07467353317088807
2000-04-28,-0.1468180207831739,-0.18444370292960038,0.07567965419305542,-0.08806137976534871,-0.14051130121278718,-0.09210995698753818,-0.16421202667614151,-0.0517227498498993,-0.10468057940039421,-0.15116965355831746
2000-05-31,-0.09043602867625308,-0.07852442180571365,-0.12238990947488868,-0.08630487627011532,-0.1345298437862952,-0.10457967068603788,-0.1488898912521285,-0.09516899062533751,-0.14587342466256026,-0.1324727910380708
2000-06-30,0.12906403245436548,0.011160324917234454,0.052167107583774186,-0.06985237816881518,-0.03725426874120093,-0.012519474966854321,-0.08761769429257124,-0.07254165125229603,0.0488461939060868,0.19503563926459266
2000-07-31,-0.006547684496660722,-0.07344701771512979,-0.11423476944678482,-0.04727417000680373,-0.10192937218683476,-0.11936893857997424,-0.09963480294805607,-0.004236084786864725,0.034315588571052075,0.23267655883701766
2000-08-31,-0.1150120126205397,-0.22948027061982773,-0.14090620299307416,-0.1295447259710605,0.0818824649449474,-0.14042063081667086,-0.22528634707057532,-0.13718102615028135,-0.10279005308417075,-0.08155057614414633
2000-09-29,0.0,-0.009451795841209809,0.017045454545454586,5.994485073745892e-05,0.08139534883720945,,0.0,0.0,-0.04950495049504955,0.0
2000-09-30,0.1599766018079542,0.1654375136552322,0.07284541723666187,0.3684057956278939,0.3156208277703603,0.3421432681242809,0.33760037626197775,0.21923285443209528,0.3085223869421984,0.26392496392496384
2000-10-31,-0.5901205275212403,-0.4630470646098097,-0.39286163898229726,-0.40668394128062224,-0.38545392528198136,-0.43936658894492725,-0.4234458899325018,-0.48051787936881585,-0.38920143865796053,-0.44774933940950257
2000-11-30,0.052013091284448996,0.1282391926232891,0.1397071952745436,0.16345374975159818,-0.053827903252674815,0.2245400881289083,0.136133600940128,0.07881105743424599,-0.00932787843366456,0.21592010676731288
2000-12-22,0.0,0.0,,0.0,,0.0,,0.0,,0.0
2000-12-31,0.020127367740989194,0.3308297058987665,-0.020697302107818838,-0.003103074371731074,-0.06238730616660659,0.08771552239519825,0.10144450451532805,0.11079978533529736,0.06111111111111097,0.012090152841185975
2001-01-31,-0.2020201620684782,-0.3431066639517335,-0.1831894592929813,-0.21256929674697536,-0.031088069837101016,-0.0898804153085136,-0.32706064038300886,-0.15433746740319637,-0.09936461388074269,-0.07851047896794254
2001-02-28,0.17319761209796436,-0.04911580176338823,-0.0697334038510509,0.040537931130658234,-0.11383462351955967,-0.12636689291101055,0.032354953114786145,-0.06664351069873864,-0.09760286389933914,0.03897466737880053
2001-03-30,0.04357958517827987,-0.06976744186046502,0.0,,0.09259259259259256,-0.03389830508474567,,0.0,-0.03468208092485536,-0.03708791208791207
2001-03-31,0.5047168173577374,0.3105351127703031,0.49662230288364556,0.7155505004334091,0.7827217294084761,0.367936507936508,0.692100114117498,0.7750116550116557,0.5094900824614343,0.5335856022957932
2001-04-30,-0.11278266453775065,-0.13912913822866296,-0.04346977346595719,-0.08031660940475979,-0.12158792437385227,-0.026552795031056092,0.061025666852620536,-0.07717046238785386,-0.07523911052243326,-0.10313848457209991
2001-05-31,-0.0163790900977699,0.06818496871604637,0.03733872945793484,-0.050205047981612266,-0.005523809523809664,-0.06543577618052368,0.09506951381951392,-0.02228588695125775,-0.025677669186797036,0.0647305726757321
