date,ticker,weight_prev,weight_target,abs_change
2000-02-01,AKSA,0.0,0.1,0.1
2000-02-01,ALARK,0.0,0.1,0.1
2000-02-01,CIMSA,0.0,0.1,0.1
2000-02-01,CLEBI,0.0,0.1,0.1
2000-02-01,IEYHO,0.0,0.1,0.1
2000-02-01,KRDMD,0.0,0.1,0.1
2000-02-01,OTKAR,0.0,0.1,0.1
2000-02-01,OYAKC,0.0,0.1,0.1
2000-02-01,RALYH,0.0,0.1,0.1
2000-02-01,YKBNK,0.0,0.1,0.1
2000-03-01,AKSA,0.1,0.0,0.1
2000-03-01,ALARK,0.1,0.0,0.1
2000-03-01,BRSAN,0.0,0.1,0.1
2000-03-01,BRYAT,0.0,0.1,0.1
2000-03-01,CIMSA,0.1,0.1,0.0
2000-03-01,CLEBI,0.1,0.1,0.0
2000-03-01,DOHOL,0.0,0.1,0.1
2000-03-01,EREGL,0.0,0.1,0.1
2000-03-01,HEKTS,0.0,0.1,0.1
2000-03-01,IEYHO,0.1,0.0,0.1
2000-03-01,KRDMD,0.1,0.0,0.1
2000-03-01,OTKAR,0.1,0.0,0.1
2000-03-01,OYAKC,0.1,0.1,0.0
2000-03-01,RALYH,0.1,0.0,0.1
2000-03-01,SASA,0.0,0.1,0.1
2000-03-01,VESTL,0.0,0.1,0.1
2000-03-01,YKBNK,0.1,0.0,0.1
2000-04-03,AKSA,0.0,0.1,0.1
2000-04-03,BRSAN,0.1,0.0,0.1
2000-04-03,BRYAT,0.1,0.1,0.0
2000-04-03,CIMSA,0.1,0.0,0.1
2000-04-03,CLEBI,0.1,0.0,0.1
2000-04-03,DOHOL,0.1,0.0,0.1
2000-04-03,EGEEN,0.0,0.1,0.1
2000-04-03,EREGL,0.1,0.1,0.0
2000-04-03,FROTO,0.0,0.1,0.1
2000-04-03,HEKTS,0.1,0.0,0.1
2000-04-03,OYAKC,0.1,0.1,0.0
2000-04-03,SAHOL,0.0,0.1,0.1
2000-04-03,SASA,0.1,0.0,0.1
2000-04-03,TUPRS,0.0,0.1,0.1
2000-04-03,TURSG,0.0,0.1,0.1
2000-04-03,ULKER,0.0,0.1,0.1
2000-04-03,VESTL,0.1,0.0,0.1
2000-05-01,AGHOL,0.0,0.1,0.1
2000-05-01,AKSA,0.1,0.1,0.0
2000-05-01,ANSGR,0.0,0.1,0.1
2000-05-01,ARCLK,0.0,0.1,0.1
2000-05-01,BRYAT,0.1,0.0,0.1
2000-05-01,EGEEN,0.1,0.0,0.1
2000-05-01,EREGL,0.1,0.0,0.1
2000-05-01,FROTO,0.1,0.1,0.0
2000-05-01,ISCTR,0.0,0.1,0.1
2000-05-01,OYAKC,0.1,0.1,0.0
2000-05-01,SAHOL,0.1,0.0,0.1
2000-05-01,TUPRS,0.1,0.1,0.0
2000-05-01,TURSG,0.1,0.1,0.0
2000-05-01,ULKER,0.1,0.1,0.0
2000-06-01,AGHOL,0.1,0.0,0.1
2000-06-01,AKSA,0.1,0.1,0.0
2000-06-01,ANSGR,0.1,0.1,0.0
2000-06-01,ARCLK,0.1,0.0,0.1
2000-06-01,FROTO,0.1,0.1,0.0
2000-06-01,ISCTR,0.1,0.1,0.0
2000-06-01,OYAKC,0.1,0.1,0.0
2000-06-01,SKBNK,0.0,0.1,0.1
2000-06-01,TUPRS,0.1,0.1,0.0
2000-06-01,TURSG,0.1,0.1,0.0
2000-06-01,ULKER,0.1,0.0,0.1
2000-06-01,VESTL,0.0,0.1,0.1
2000-06-01,ZOREN,0.0,0.1,0.1
2000-07-03,AKSA,0.1,0.0,0.1
2000-07-03,ANSGR,0.1,0.1,0.0
2000-07-03,ARCLK,0.0,0.1,0.1
2000-07-03,BTCIM,0.0,0.1,0.1
2000-07-03,CIMSA,0.0,0.1,0.1
2000-07-03,DOHOL,0.0,0.1,0.1
2000-07-03,FROTO,0.1,0.1,0.0
2000-07-03,IPEKE,0.0,0.1,0.1
2000-07-03,ISCTR,0.1,0.0,0.1
2000-07-03,OYAKC,0.1,0.1,0.0
2000-07-03,SKBNK,0.1,0.0,0.1
2000-07-03,TUPRS,0.1,0.1,0.0
2000-07-03,TURSG,0.1,0.0,0.1
2000-07-03,VESTL,0.1,0.0,0.1
2000-07-03,ZOREN,0.1,0.1,0.0
2000-08-01,ANSGR,0.1,0.0,0.1
2000-08-01,ARCLK,0.1,0.0,0.1
2000-08-01,BSOKE,0.0,0.1,0.1
